id,name,email
55,Geisha Williams,geisha.williams@pgecorp.com
30,Jeff Bezos,jeff.bezos@amazon.com
55,Geisha Williams,geisha.williams@pgecorp.com
40,Sundar Pichai,sundar.pichai@google.com
45,Safra Catz,safra.catz@oracle.com
10,Satya Nadella,satyam.nadella@microsoft.com
50,Tim Cook,timothy.cook@apple.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
40,Sundar Pichai,sundar.pichai@google.com
15,Ginni Rometty,ginni.rometty@ibm.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
15,Ginni Rometty,ginni.rometty@ibm.com
25,Indra Nooyi,indra.nooyi@pepsico.com
30,Jeff Bezos,jeff.bezos@amazon.com
15,Ginni Rometty,ginni.rometty@ibm.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
25,Indra Nooyi,indra.nooyi@pepsico.com
55,Geisha Williams,geisha.williams@pgecorp.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
10,Satya Nadella,satyam.nadella@microsoft.com
55,Geisha Williams,geisha.williams@pgecorp.com
20,Marc Benioff,marc.benioff@salesforce.com
40,Sundar Pichai,sundar.pichai@google.com
45,Safra Catz,safra.catz@oracle.com
15,Ginni Rometty,ginni.rometty@ibm.com
45,Safra Catz,safra.catz@oracle.com
50,Tim Cook,timothy.cook@apple.com
45,Safra Catz,safra.catz@oracle.com
50,Tim Cook,timothy.cook@apple.com
10,Satya Nadella,satyam.nadella@microsoft.com
20,Marc Benioff,marc.benioff@salesforce.com
40,Sundar Pichai,sundar.pichai@google.com
50,Tim Cook,timothy.cook@apple.com
30,Jeff Bezos,jeff.bezos@amazon.com
25,Indra Nooyi,indra.nooyi@pepsico.com
30,Jeff Bezos,jeff.bezos@amazon.com
50,Tim Cook,timothy.cook@apple.com
10,Satya Nadella,satyam.nadella@microsoft.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
40,Sundar Pichai,sundar.pichai@google.com
30,Jeff Bezos,jeff.bezos@amazon.com
10,Satya Nadella,satyam.nadella@microsoft.com
15,Ginni Rometty,ginni.rometty@ibm.com
50,Tim Cook,timothy.cook@apple.com
20,Marc Benioff,marc.benioff@salesforce.com
10,Satya Nadella,satyam.nadella@microsoft.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
10,Satya Nadella,satyam.nadella@microsoft.com
30,Jeff Bezos,jeff.bezos@amazon.com
45,Safra Catz,safra.catz@oracle.com
15,Ginni Rometty,ginni.rometty@ibm.com
20,Marc Benioff,marc.benioff@salesforce.com
55,Geisha Williams,geisha.williams@pgecorp.com
50,Tim Cook,timothy.cook@apple.com
55,Geisha Williams,geisha.williams@pgecorp.com
30,Jeff Bezos,jeff.bezos@amazon.com
55,Geisha Williams,geisha.williams@pgecorp.com
20,Marc Benioff,marc.benioff@salesforce.com
45,Safra Catz,safra.catz@oracle.com
25,Indra Nooyi,indra.nooyi@pepsico.com
20,Marc Benioff,marc.benioff@salesforce.com
25,Indra Nooyi,indra.nooyi@pepsico.com
45,Safra Catz,safra.catz@oracle.com
20,Marc Benioff,marc.benioff@salesforce.com
40,Sundar Pichai,sundar.pichai@google.com
35,Marillyn Hewson,marillyn.hewson@lockheedmartin.com
25,Indra Nooyi,indra.nooyi@pepsico.com
15,Ginni Rometty,ginni.rometty@ibm.com
40,Sundar Pichai,sundar.pichai@google.com
25,Indra Nooyi,indra.nooyi@pepsico.com
